C3H6D3S9D8;C4C9H4H7CK
D10S2S3D5D7;D8HQS7DQC6
S8S10C3SJH7;C2D4D5C9HJ
SKH3H6DAD9;CKS5DKD8D10
D8HJS3D6D9;S10H8DQC4HQ
D6S5C3S7C10;D3H3D9H5HA
H6HQSJCAD9;CJHKSKH8C5
D9HJH9H7HQ;D4DAC4S4D7
S7C5S9SKD5;H2S4H6C3CQ
S9CKDAS10S2;HJC6D10H7D2
H10CQDQC8D8;C6C5DJHKC9
H6D2C3SKC10;C8H10C4S7SJ
S4S3D6HQH2;D9S5C6C10D4
S6S8CQD4C5;CKH7S10D7D6
D2C5SQS4C9;D3S9H10D5D10
SQCJC9D10S10;H5S2C7D9C6
S10H2SKS2DA;C6D4S5S8D3
D9S4H7HKD5;D10S9H3CAS8
S3H10H5H6D5;D6C8SJCQCA
D2H6S5S2C2;C8S7S3D3S8
SKH5DQH9H3;CKDJH7C8D9
D8D9H5S5H7;DKDAHQS6C3
H9HQD2S10C4;C2D9S6S8D4
S9SQCAC9DJ;H5S4CJH3H9
HQC3H8S2C10;S10D7HJD9D4
CJSKC5S10DQ;D2S2CKH4S5
HJS5H8H5D10;S10C7C2D2D7
S9H5DAH6C8;C6CJH9SQH2
H3HKH8C6CA;D4S7D5C10SK
H6D7C2HQD2;CJS9H3HAC7
C6CKH4S7HJ;HADAD7H9H8
C5HKCJSJHJ;DAH6D5H3D10
D6H5S7S2H7;HQC8SJS3DQ
CJH4C10C2SK;HKH10H9H5D4
H2S5SQD5SJ;C7H3S8S7H4
D6D9D4C5H2;DJD10D5D2S6
C5SJDJD9HA;H2CQH7D10H5
S9C2C9CAH9;D9S7D2CQH10
S3SQCKD8S6;C5S4S2S7C6
DKS2D3C8C10;C4D7S6D9C7
S2C10SKS5CQ;H7S9H5D6H9
D9C10HACKHJ;C3H10S2SJS6
D2HJDJC10D4;D9D3H3SQDQ
D7H3C4CAS2;DJS3HACKD4
H10HJS2CQS6;D9S5HKS4D7
D2H8C5S3C9;C7HKS5S8C2
D7S2C2S3DJ;DQH5S7CAC6
DAC7S9C6H4;C4H6C8D6SQ
C3D3CKD4D7;S4C10H6S10D2
H4D2H5D5DJ;SKH7H6C2C6
S9S6HJD9D4;DKCQH7S10DJ
D5DQDJD4S5;CAS4C9C4C3
H4S8HAD5DJ;C9C4HQH8CQ
HQD9C7HASQ;H7H9C6D5C5
D9H9SJHQC8;CAC10D3CQS3
CJC7SJHJH7;D6C10C6D2DA
D8H10CKD2S8;H4H2CAC3DQ
H9S7H5D10DA;CJS4SQD8S8
D2HKDAH7DQ;CAC7S3D3D8
S3S4C7C10D5;C6S9C2D9S10
D6D9H2C5S6;H9D4C2CJS3
SKH9S3CKHJ;HKD6D2CADJ
S6D4S4HQC2;S5S2CQH3DK
H3H7SJH9C2;HJS7C6H10CA
SQC5SJH4HK;H6S6C6DAC2
DJD5H9HAC3;D2D7S6S7D6
D8HKH9D2S5;D7S3H3SJC7
DAH10H4S10D6;CKSKH8HACA
SQCAD2HJS9;C8CJDQS10H3
SJDQSKD4DA;S4D7C2H4C3
C7H7DAS7H2;DKHKH10S8C4
DKC7H8HJHQ;C10H9HAD10HK
CJHKC3SQD8;S4C8H3HJDJ
S9S7S8C10H5;C5C8DJD6C3
CJC9D3D4S3;H7H10DAC7C5
H7HAS4H9S7;C7HKH3C2DA
C5CQHQHKHJ;H5S10D9C6C10
H10D9DAD6DK;H9DQH5C7HQ
HQH6D5SJS4;D8CJH4D6H5
CJD5H10SJD8;HKS4S5H8S9
H5SKSQC5C4;DKDQC2S10CJ
C6DKH3DAC9;D8H6DQSQD4
SKC3H10S6C7;C5DQH3H7D10
S9HQH10D9DA;S7C2H6H3C8
S2D2C8S10C2;SQD9HADADJ
D5C8SKS2D3;D4CQH4C10CA
D3S8D6S10H5;S6D5D2DAD10
HKD2C8H8SK;CKD8CAH3S3
C9S9HQD5C6;C10H9D7SKD10
H5D4H8DJC2;CKCJH9D6S9
HJCJS7H6H3;C4CQC9H10H4
S9CKH7C2D8;SJCQH5H4D5
SQD7H10D6H6;C3SJCAC8D5
DQC4C9H3S3;SKH7H10S5C10
SQS9H8H3H7;H5S8SJH6CK
H8C2D7SKS5;DAH4CQC8D8
H3H9S7D7HK;CJHQD5SQH5
H3S5C5CASJ;C7S2C2D7HQ
S7S2S8HQD6;DQH3S6S3C9
S5HQD10C5DQ;DAC3C4S10S2
SKS5DQC9HK;H7HJC7H4S4
C10HQD10DJH7;D2S8H3D6C4
H5D7C9S7D6;H3SJSKD9C3
CKD6D5S5D8;H3D3S10D10D9
H8D9CQD3C9;C6S2D8CKS10
HQS4SKDQHK;H4SJC5H9H5
CJSQHKC9C4;H6D8C5H4DQ
C4CKHJH9D5;S4D9HQC9SJ
H6DJC4H8S10;C5D8CJC9D4
C4CKD3C7SJ;HAD10S6HKC3
HJD8C2D5S2;H8SKH3D9D3
CKC6H5H10S4;S7CJC8CASK
H7C10H8S2SQ;CAS9DJD6C6
SJDKH4H10S5;C9HACJCQS10
S9C4H8DQS3;S5H7S10SJHQ
C5SKC3S10CJ;HKCAHQD2CQ
H4S10CJH9SQ;H10S5D3C8D6
D2S2S8C8HK;D8H8S5H2H9
S4S6H9D5C2;H7S3S9D4DA
DJH2S2D3H4;D10D2C5C10S9
H3H4S9HQHA;D2S2C2D8H5
H10D10S5S6C5;H5H9DQHAD5
D6DJC5SQCQ;C8D9S8S2C2
HKDAHQC9S5;DJC7C3CJS3
HJCKHKS7DJ;C5D5S10CQD10
S6HJC8CKH4;SKCJC3S9D3
S5S9C5HAH10;CJH9SKH8D8
SKH7S8S10DJ;CADAHJSJHA
D3H2C8DQHJ;SKD8D5S6HA
C3C7H5C6C8;C4H9D10S2SJ
SKC5C2C4SQ;S7DJD10H8D8
S4S10H3CKHJ;C6C5CJC9D10
C5CAS3S9H2;D4H9C10D9H4
